tx_label,tx_hash,description,receipt_gas,tx_gas_limit,schedule,block_gas_limit,gas_used,delta_vs_baseline,delta_pct,compute_gas,path_diverged
simple,0x7ab274aaa28033af85e1eee5a312113672ab5fc2c335b09cd802cce31fc86c0a,atomic AMM arb,194977,16777216,baseline,59999943,194977,0,0.00%,2088,no
simple,0x7ab274aaa28033af85e1eee5a312113672ab5fc2c335b09cd802cce31fc86c0a,atomic AMM arb,194977,16777216,eip8037,59999943,194977,0,0.00%,2088,no
simple,0x7ab274aaa28033af85e1eee5a312113672ab5fc2c335b09cd802cce31fc86c0a,atomic AMM arb,194977,16777216,eip8038,59999943,289177,94200,48.31%,2088,no
simple,0x7ab274aaa28033af85e1eee5a312113672ab5fc2c335b09cd802cce31fc86c0a,atomic AMM arb,194977,16777216,eip8038_sstore,59999943,289177,94200,48.31%,2088,no
simple,0x7ab274aaa28033af85e1eee5a312113672ab5fc2c335b09cd802cce31fc86c0a,atomic AMM arb,194977,16777216,eip8038_200m,200000000,618877,423900,217.41%,2088,no
simple,0x7ab274aaa28033af85e1eee5a312113672ab5fc2c335b09cd802cce31fc86c0a,atomic AMM arb,194977,16777216,eip8038_sstore200m,200000000,618877,423900,217.41%,2088,no
intermediate,0x8687c5e125eb7d4b42640ffba788c175e3d0daadf51d58c3531099d2f720c875,intermediate AMM arb,1884138,16777216,baseline,60000000,1884138,0,0.00%,32855,no
intermediate,0x8687c5e125eb7d4b42640ffba788c175e3d0daadf51d58c3531099d2f720c875,intermediate AMM arb,1884138,16777216,eip8037,60000000,1884138,0,0.00%,32855,no
intermediate,0x8687c5e125eb7d4b42640ffba788c175e3d0daadf51d58c3531099d2f720c875,intermediate AMM arb,1884138,16777216,eip8038,60000000,2996938,1112800,59.06%,32855,no
intermediate,0x8687c5e125eb7d4b42640ffba788c175e3d0daadf51d58c3531099d2f720c875,intermediate AMM arb,1884138,16777216,eip8038_sstore,60000000,2996938,1112800,59.06%,32855,no
intermediate,0x8687c5e125eb7d4b42640ffba788c175e3d0daadf51d58c3531099d2f720c875,intermediate AMM arb,1884138,16777216,eip8038_200m,200000000,6891738,5007600,265.78%,32855,no
intermediate,0x8687c5e125eb7d4b42640ffba788c175e3d0daadf51d58c3531099d2f720c875,intermediate AMM arb,1884138,16777216,eip8038_sstore200m,200000000,6891738,5007600,265.78%,32855,no
complex,0xa5f2e961389bb12c2cb5eac6ba6b01e2c25663f6872536cd1c4c866e6c95b1ee,complex AMM arb,10018653,16777216,baseline,60000000,10018653,0,0.00%,147695,no
complex,0xa5f2e961389bb12c2cb5eac6ba6b01e2c25663f6872536cd1c4c866e6c95b1ee,complex AMM arb,10018653,16777216,eip8037,60000000,10180293,161640,1.61%,147695,no
complex,0xa5f2e961389bb12c2cb5eac6ba6b01e2c25663f6872536cd1c4c866e6c95b1ee,complex AMM arb,10018653,16777216,eip8038,60000000,16776237,6757584,67.45%,139472,yes
complex,0xa5f2e961389bb12c2cb5eac6ba6b01e2c25663f6872536cd1c4c866e6c95b1ee,complex AMM arb,10018653,16777216,eip8038_sstore,60000000,15947493,5928840,59.18%,147695,no
complex,0xa5f2e961389bb12c2cb5eac6ba6b01e2c25663f6872536cd1c4c866e6c95b1ee,complex AMM arb,10018653,16777216,eip8038_200m,200000000,16765262,6746609,67.34%,70695,yes
complex,0xa5f2e961389bb12c2cb5eac6ba6b01e2c25663f6872536cd1c4c866e6c95b1ee,complex AMM arb,10018653,16777216,eip8038_sstore200m,200000000,16577952,6559299,65.47%,73291,yes
